index,trial,block,image_left,image_right,old_image,new_image,button,subject_index,valid,idx_trial_subj,left_is_new,right_is_new,old_new_comb,category_left,category_right,time_left,time_right,longer_left,longer_right,avg_dur_left,avg_dur_right,longer_avg_dur_left,longer_avg_dur_right
0,1,1,68,80,0,0,0,1,True,0,True,True,4,urban,natural,0.3706233988044407,0.6293766011955594,False,True,217.0,245.66666666666666,False,True
1,2,1,47,151,0,0,0,1,True,49,True,True,4,humans,indoor,0.15919487648673375,0.8408051235132662,False,True,174.0,229.75,False,True
2,3,1,156,54,0,0,0,1,True,98,True,True,4,urban,urban,0.3384201077199282,0.6615798922800719,False,True,188.5,210.57142857142858,False,True
3,4,1,44,183,0,0,0,1,True,147,True,True,4,natural,humans,0.3182214472537053,0.6817785527462947,False,True,182.5,391.0,False,True
4,5,1,155,149,0,0,0,1,True,196,True,True,4,urban,natural,0.4781491002570694,0.5218508997429306,False,True,223.2,203.0,True,False
5,6,1,69,141,0,0,0,1,True,245,True,True,4,urban,indoor,0.5980565371024735,0.4019434628975265,True,False,225.66666666666666,227.5,False,True
6,7,1,39,171,0,0,0,1,True,294,True,True,4,urban,humans,0.23111510791366907,0.7688848920863309,False,True,171.33333333333334,190.0,False,True
7,8,1,86,78,0,0,0,1,True,343,True,True,4,natural,natural,0.3336363636363636,0.6663636363636364,False,True,244.66666666666666,183.25,True,False
8,9,1,142,79,0,0,0,1,True,392,True,True,4,humans,humans,0.47048300536672627,0.5295169946332737,False,True,175.33333333333334,296.0,False,True
9,10,1,7,135,0,0,0,1,True,441,True,True,4,humans,faces,0.0,1.0,False,True,,304.75,False,False
10,11,1,119,11,0,0,0,1,True,490,True,True,4,humans,urban,0.25775862068965516,0.7422413793103448,False,True,199.33333333333334,215.25,False,True
11,12,1,38,167,0,0,0,1,True,539,True,True,4,urban,noise,0.7198952879581152,0.2801047120418848,True,False,275.0,214.0,True,False
12,13,1,157,132,0,0,0,1,True,588,True,True,4,humans,urban,1.0,0.0,True,False,294.75,,False,False
13,14,1,82,49,0,0,0,1,True,637,True,True,4,urban,urban,0.20616740088105726,0.7938325991189428,False,True,156.0,257.42857142857144,False,True
14,15,1,96,32,0,0,0,1,True,686,True,True,4,natural,indoor,0.5968586387434555,0.4031413612565445,True,False,228.0,231.0,False,True
15,16,1,33,117,0,0,0,1,True,735,True,True,4,urban,natural,0.25462962962962965,0.7453703703703703,False,True,183.33333333333334,268.3333333333333,False,True
16,17,1,37,138,0,0,0,1,True,784,True,True,4,urban,natural,0.32842287694974004,0.67157712305026,False,True,252.66666666666666,258.3333333333333,False,True
17,18,1,62,188,0,0,0,1,True,833,True,True,4,urban,humans,0.37683823529411764,0.6231617647058824,False,True,164.0,169.5,False,True
