index,gbvs_left,gbvs_right,deepgaze_left,deepgaze_right,idx_trial_subj
0,1376270.5,1124037.2,1182888.40904873,380614.5138162203,0
1,871469.7,910514.2,506075.7977961796,821768.9549585251,49
2,1130671.1,1067141.8,589008.5999000451,1351780.9080166596,98
3,942962.0,1286654.4,614263.6643889522,886240.3125468502,147
4,1118287.1,1009088.0,490712.9968958647,1322433.2704610417,196
5,753617.3,1330193.6,612593.6962969088,688493.8770114878,245
6,1191290.8,1229068.9,801990.7426254948,933472.6676660844,294
7,1073193.0,1627251.4,1026817.6368315152,968162.1980260209,343
8,817074.06,1225549.6,719793.1087793933,817235.565772457,392
9,870888.2,414659.5,537657.1821305536,498142.21349327546,441
10,1462857.2,1463364.1,699522.8387494178,902741.0755135077,490
11,1297677.2,135137.55,1305558.933882281,41593.67265163881,539
12,1111342.8,1048438.06,864419.7439134726,890654.0155655079,588
13,837680.1,431009.3,624942.2828864134,496098.4036716507,637
14,920700.3,893007.6,689040.8763491304,852764.7684969305,686
15,884373.0,1046392.1,698998.5987175282,615592.257756363,735
16,949273.7,1000182.44,803510.7749341972,339847.5422516526,784
17,659462.2,1235435.8,362657.75690471387,974147.4964194809,833
18,1094093.8,845707.06,623585.0504671681,735166.0505049218,882
19,1157557.6,625707.5,1208250.5163895513,258263.48529748613,931
20,643349.1,681837.6,549918.4629128855,813453.6866771124,980
21,721801.06,1138026.6,561135.1492333228,661203.9449340116,1029
22,1008219.06,1139628.5,1018194.3634364199,873871.5553125568,1078
23,654848.1,1212977.0,266016.1566946923,799633.2597433961,1127
24,651709.0,1035553.3,826392.5008231315,912164.7385402668,1176
25,925204.0,1232086.4,577212.8933133692,813473.2444886619,1225
26,1269124.4,859619.8,964156.0481708616,642129.1025975065,1323
27,1288048.1,1485828.6,645868.0827453433,952400.3826615976,1372
28,1174702.6,900617.44,690756.1849831704,757551.492507689,1421
29,764339.4,955450.94,648947.605364941,339807.59239971096,1470
30,649222.25,1005842.7,730855.395130154,439618.6477213815,1519
31,898950.94,913088.5,531045.9725891182,678932.1351573324,1568
32,1257946.9,859680.56,490744.97500673373,1377709.675552662,1617
33,709578.94,707121.6,756714.012701331,990716.5193392831,1666
34,518608.66,1234872.0,211442.95828667877,946777.0163009089,1715
